INSPIRE_ID;FORMA_OCHRONY;DOKLADNOSC_POLOZENIA;NAZWA;OBSZAR_AZP;NR_STANOWSIKA_OBSZAR;CHRONOLOGIA;FUNKCJA;WYKAZ_DOKUMENTOW;DATA_WPISU;WOJEWODZTWO;POWIAT;GMINA;MIEJSCOWOSC;LINK
PL.1.9.ZIPOZ.NID_A_02_AR.28164;rejestr zabytków;przybliżony;Jelenia Góra - Grabary, st. 1;84-17;1;średniowiecze;grodzisko;239/Arch z 1966-08-15;1966-08-15;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28164&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.28182;rejestr zabytków;dokładny;Jelenia Góra - Grabary, st. 3;84-17;6;średniowiecze;osada;248/Arch/2003 z 2003-12-30;2003-12-30;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28182&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.28167;rejestr zabytków;przybliżony;Jelenia Góra - Maciejowa, st. 1;83-17;5;średniowiecze;osada;70/1014/Arch/82 z 1982-11-29;1982-11-29;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28167&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.28170;rejestr zabytków;przybliżony;Jelenia Góra - Maciejowa, st. 2;83-17;6;średniowiecze;osada;71/1015/Arch/82 z 1982-11-29;1982-11-29;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28170&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.28176;rejestr zabytków;przybliżony;Jelenia Góra - Strupice, st. 1;83-16;52;średniowiecze;miejsce eksploatacji surowca;257/Arch/2004 z 2004-12-28;2004-12-28;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28176&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.28189;rejestr zabytków;przybliżony;Jelenia Góra, st. 1;84-17;14;średniowiecze;zamek;11/Arch/2001 z 2001-07-12;2001-07-12;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28189&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.28184;rejestr zabytków;przybliżony;Jelenia Góra, st. 1;84-16;1;epoka żelaza;cmentarzysko ciałopalne;558/Arch/71 z 1971-04-30;1971-04-30;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28184&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.28180;rejestr zabytków;przybliżony;Jelenia Góra, st. 2;84-16;2;średniowiecze;grodzisko;238/Arch z 1966-12-21;1966-12-21;dolnośląskie;Jelenia Góra;Jelenia Góra;Jelenia Góra;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.28180&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.31535;rejestr zabytków;przybliżony;Legnica-Piekary Stare, st. 108;77-21;19;nieznana;osada;803/Arch/75 z 1975-05-07;1975-05-07;dolnośląskie;Legnica;Legnica;Legnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.31535&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.31533;rejestr zabytków;przybliżony;Legnica-Piekary Stare, st. 109;77-21;20;epoka brązu ;osada;800/Arch/75 z 1975-04-30;1975-04-30;dolnośląskie;Legnica;Legnica;Legnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.31533&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.31526;rejestr zabytków;przybliżony;Legnica-Piekary Wielkie, st. 103;77-21;4;średniowiecze;osada;724/Arch/74 z 1974-03-04;1974-03-04;dolnośląskie;Legnica;Legnica;Legnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.31526&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.31521;rejestr zabytków;przybliżony;Legnica-Piekary Wielkie, st. 104;77-21;5;nieznana;osada;802/Arch/75 z 1975-05-07;1975-05-07;dolnośląskie;Legnica;Legnica;Legnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.31521&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.31519;rejestr zabytków;przybliżony;Legnica-Piekary Wielkie, st. 105;77-21;6;epoka brązu ;osada;801/Arch/75 z 1975-04-30;1975-04-30;dolnośląskie;Legnica;Legnica;Legnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.31519&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.31537;rejestr zabytków;przybliżony;Legnica-Piątnica, st. 101;77-21;1;średniowiecze;osada;718/Arch/74 z 1974-02-21;1974-02-21;dolnośląskie;Legnica;Legnica;Legnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.31537&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.31517;rejestr zabytków;przybliżony;Legnica-Przybków, st. 76;78-20;17;epoka brązu ;cmentarzysko;422/Arch z 1969-08-12;1969-08-12;dolnośląskie;Legnica;Legnica;Legnica;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.31517&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24536;rejestr zabytków;dokładny;Wrocław;80-28;;średniowiecze;miasto;409/W.m. z 1981-03-19;1981-03-19;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24536&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24582;rejestr zabytków;dokładny;Wrocław-Grabiszyn, st. 1;80-28;1;epoka kamienia;inna;1244/679/Arch z 1991-09-25, brak numeru z 2015-10-01;1991-09-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24582&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24551;rejestr zabytków;dokładny;Wrocław-Krzyki, st. 1;81-28;80;epoka brązu ;osada;Arch/1227/662/88 z 1988-12-27;1988-12-27;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24551&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24499;rejestr zabytków;przybliżony;Wrocław-Krzyki, st. 15/71;80-28;;epoka brązu ;osada;868/Arch/77 z 1977-12-28;1977-12-28;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24499&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24793;rejestr zabytków;dokładny;Wrocław-Książe Wielkie, st. 12;80-29;71;epoka kamienia;funkcja osadnicza/mieszkalna;1281/716/Arch z 1993-02-15;1993-02-15;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24793&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24774;rejestr zabytków;przybliżony;Wrocław-Książe Wielkie, st. 4;80-29;63;epoka brązu ;cmentarzysko;289 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24774&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24524;rejestr zabytków;dokładny;Wrocław-Kuźniki, st. 13;79-27;155;epoka żelaza;osada;31/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24524&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24484;rejestr zabytków;przybliżony;Wrocław-Kuźniki, st. 14;79-27;156;epoka żelaza;osada;32/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24484&rejestr=rejestr-zabytkow
